EmployeeCode,NoOfDays,StartDate,EndDate,LeaveTypeCode,LeaveTypeName
182666,,,,,
182667,1.0,2024-12-31,2024-12-31,2.0,Casual Leave
182668,,,,,
182669,,,,,
182670,0.5,2024-12-31,2024-12-31,1.0,Annual Leave
182671,1.0,2025-01-20,2025-01-20,1.0,Annual Leave
182672,,,,,
182673,1.0,2025-01-03,2025-01-03,2.0,Casual Leave
182674,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182675,1.0,2024-12-31,2024-12-31,1.0,Annual Leave
182676,,,,,
182677,,,,,
182678,,,,,
182679,,,,,
182680,,,,,
182681,,,,,
182682,0.5,2025-01-17,2025-01-17,2.0,Casual Leave
182683,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182684,,,,,
182685,,,,,
182686,1.0,2025-01-08,2025-01-08,2.0,Casual Leave
182687,,,,,
182688,,,,,
182689,1.0,2025-01-03,2025-01-03,1.0,Annual Leave
182690,,,,,
182691,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182691,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182691,1.0,2024-12-27,2024-12-27,1.0,Annual Leave
182691,1.0,2024-12-31,2024-12-31,1.0,Annual Leave
182691,1.0,2024-12-30,2024-12-30,1.0,Annual Leave
182691,1.0,2024-12-23,2024-12-23,2.0,Casual Leave
182692,,,,,
182693,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182693,1.0,2024-12-26,2024-12-26,2.0,Casual Leave
182694,,,,,
182695,,,,,
182696,,,,,
182697,,,,,
182699,,,,,
182700,,,,,
182701,,,,,
182702,,,,,
182703,,,,,
182704,,,,,
182705,,,,,
182706,,,,,
182707,,,,,
182708,1.0,2024-12-30,2024-12-30,13.0,No Pay Leave
182709,,,,,
182711,1.0,2025-01-09,2025-01-09,1.0,Annual Leave
182711,1.0,2025-01-08,2025-01-08,1.0,Annual Leave
182712,1.0,2025-01-06,2025-01-06,7.0,Day Off Leave
